iter	Passed	Remaining
574	2927	2163
575	2932	2158
576	2935	2152
577	2940	2146
578	2943	2140
579	2947	2134
580	2951	2128
581	2955	2122
582	2959	2116
583	2963	2110
584	2967	2104
585	2971	2099
586	2975	2093
587	2979	2087
588	2983	2081
589	2987	2075
590	2991	2070
591	2995	2064
592	2999	2058
593	3003	2052
594	3007	2047
595	3011	2041
596	3015	2035
597	3020	2030
598	3023	2024
599	3027	2018
600	3031	2012
601	3036	2007
602	3039	2001
603	3043	1995
604	3047	1989
605	3052	1984
606	3056	1978
607	3060	1973
608	3064	1967
609	3068	1962
610	3072	1956
611	3076	1950
612	3081	1945
613	3085	1939
614	3089	1933
615	3093	1928
616	3097	1922
617	3101	1917
618	3105	1911
619	3109	1905
620	3113	1900
621	3117	1894
622	3121	1888
623	3125	1883
624	3129	1877
625	3133	1872
626	3137	1866
627	3142	1861
628	3146	1855
629	3150	1850
630	3154	1844
631	3158	1838
632	3162	1833
633	3166	1827
634	3170	1822
635	3174	1816
636	3178	1811
637	3182	1805
638	3186	1800
639	3190	1794
640	3194	1788
641	3197	1783
642	3201	1777
643	3205	1771
644	3209	1766
645	3213	1760
646	3217	1755
647	3221	1749
648	3225	1744
649	3228	1738
650	3233	1733
651	3237	1727
652	3241	1722
653	3245	1717
654	3249	1711
655	3253	1706
656	3257	1700
657	3261	1695
658	3265	1689
659	3269	1684
660	3273	1678
661	3277	1673
662	3281	1667
663	3285	1662
664	3289	1656
665	3292	1651
666	3296	1645
667	3300	1640
668	3304	1635
669	3308	1629
670	3312	1624
671	3316	1618
672	3320	1613
673	3324	1607
674	3328	1602
675	3331	1596
676	3335	1591
677	3339	1585
678	3343	1580
679	3347	1575
680	3351	1569
681	3354	1564
682	3358	1558
683	3362	1553
684	3366	1547
685	3370	1542
686	3373	1537
687	3377	1531
688	3381	1526
689	3385	1520
690	3389	1515
691	3392	1510
692	3396	1504
693	3400	1499
694	3404	1494
695	3408	1488
696	3412	1483
697	3416	1478
698	3420	1472
699	3424	1467
700	3428	1462
701	3432	1457
702	3436	1451
703	3440	1446
704	3444	1441
705	3448	1435
706	3452	1430
707	3456	1425
708	3460	1420
709	3464	1414
710	3467	1409
711	3471	1404
712	3475	1399
713	3479	1393
714	3483	1388
715	3487	1383
716	3491	1377
717	3495	1372
718	3499	1367
719	3503	1362
720	3507	1357
721	3511	1352
722	3515	1346
723	3518	1341
724	3523	1336
725	3526	1330
726	3530	1325
727	3534	1320
728	3538	1315
729	3541	1309
730	3545	1304
731	3549	1299
732	3552	1294
733	3556	1288
734	3560	1283
735	3564	1278
736	3568	1273
737	3573	1268
738	3577	1263
739	3581	1258
740	3585	1253
741	3589	1247
742	3592	1242
743	3597	1237
744	3601	1232
745	3604	1227
746	3608	1222
747	3612	1217
748	3617	1212
749	3621	1207
750	3625	1201
751	3629	1196
752	3633	1191
753	3636	1186
754	3640	1181
755	3644	1176
756	3648	1171
757	3652	1166
758	3656	1160
759	3660	1155
760	3663	1150
761	3667	1145
762	3671	1140
763	3675	1135
764	3679	1130
765	3683	1125
766	3686	1120
767	3691	1115
768	3695	1110
769	3700	1105
770	3704	1100
771	3708	1095
772	3712	1090
773	3716	1085
774	3720	1080
775	3724	1075
776	3729	1070
777	3734	1065
778	3738	1060
779	3742	1055
780	3746	1050
781	3751	1045
782	3755	1040
783	3759	1035
784	3763	1030
785	3767	1025
786	3771	1020
787	3775	1015
788	3779	1010
789	3783	1005
790	3786	1000
791	3790	995
792	3794	990
793	3798	985
794	3802	980
795	3806	975
796	3810	970
797	3815	965
798	3818	960
799	3822	955
800	3826	950
801	3830	945
802	3834	940
803	3838	935
804	3842	930
805	3846	925
806	3850	920
807	3854	915
808	3858	910
809	3862	905
810	3865	900
811	3869	895
812	3873	891
813	3877	886
814	3881	881
815	3885	876
816	3889	871
817	3893	866
818	3897	861
819	3901	856
820	3905	851
821	3909	846
822	3913	841
823	3917	836
824	3921	831
825	3925	826
826	3929	822
827	3933	817
828	3937	812
829	3941	807
830	3945	802
831	3949	797
832	3953	792
833	3957	787
834	3962	782
835	3966	778
836	3969	773
837	3973	768
838	3977	763
839	3981	758
840	3985	753
841	3989	748
842	3993	743
843	3996	738
844	4000	733
845	4004	728
846	4009	724
847	4013	719
848	4017	714
849	4021	709
850	4025	704
851	4028	699
852	4032	694
853	4036	690
854	4040	685
855	4044	680
856	4048	675
857	4052	670
858	4056	665
859	4060	660
860	4064	656
861	4068	651
862	4072	646
863	4076	641
864	4081	636
865	4084	632
866	4088	627
867	4092	622
868	4097	617
869	4101	612
870	4105	607
871	4108	603
872	4112	598
873	4116	593
874	4120	588
875	4124	583
876	4128	579
877	4133	574
878	4136	569
879	4140	564
880	4144	559
881	4148	555
882	4152	550
883	4156	545
884	4160	540
885	4164	535
886	4168	531
887	4172	526
888	4176	521
889	4180	516
890	4183	511
891	4187	507
892	4191	502
893	4195	497
894	4199	492
895	4203	487
896	4207	483
897	4211	478
898	4214	473
899	4218	468
900	4222	463
901	4227	459
902	4231	454
903	4235	449
904	4239	444
905	4243	440
906	4247	435
907	4251	430
908	4255	426
909	4259	421
910	4263	416
911	4267	411
912	4271	406
913	4274	402
914	4278	397
915	4283	392
916	4286	387
917	4289	383
918	4293	378
919	4297	373
920	4301	368
921	4304	364
922	4308	359
923	4312	354
924	4316	349
925	4320	345
926	4324	340
927	4328	335
928	4332	331
929	4335	326
930	4339	321
931	4343	316
932	4347	312
933	4351	307
934	4355	302
935	4359	298
936	4362	293
937	4366	288
938	4370	283
939	4373	279
940	4377	274
941	4380	269
942	4384	265
943	4388	260
944	4392	255
945	4395	250
946	4400	246
947	4403	241
948	4407	236
949	4411	232
950	4415	227
951	4419	222
952	4422	218
953	4426	213
954	4431	208
955	4435	204
956	4439	199
957	4443	194
958	4447	190
959	4450	185
960	4454	180
961	4458	176
962	4461	171
963	4465	166
964	4469	162
965	4473	157
966	4477	152
967	4480	148
968	4484	143
969	4488	138
970	4492	134
971	4496	129
972	4499	124
973	4504	120
974	4508	115
975	4511	110
976	4515	106
977	4519	101
978	4523	97
979	4526	92
980	4530	87
981	4534	83
982	4538	78
983	4541	73
984	4545	69
985	4549	64
986	4552	59
987	4556	55
988	4560	50
989	4563	46
990	4567	41
991	4571	36
992	4575	32
993	4578	27
994	4583	23
995	4587	18
996	4590	13
997	4594	9
998	4598	4
999	4601	0
